City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Demyansk,RU,2021-06-11 11:05:05,57.643,32.466,56.68,86,98,2.77
258,Ahmadpur Sial,PK,2021-06-11 11:05:06,30.6754,71.7483,103.87,15,0,15.86
259,Berlevag,NO,2021-06-11 11:03:09,70.8578,29.0864,73.2,59,0,12.66
260,Mayo,US,2021-06-11 11:05:06,38.8876,-76.5119,70.95,96,90,3.0
261,Sao Joao Da Barra,BR,2021-06-11 11:04:05,-21.6403,-41.0511,70.47,91,18,6.85
262,Adrar,MR,2021-06-11 11:02:18,20.5022,-10.0711,107.33,9,39,10.27
263,Mareeba,AU,2021-06-11 11:05:07,-17.0,145.4333,65.44,93,79,2.48
264,Turan,VN,2021-06-11 11:00:17,16.0678,108.2208,86.05,70,40,8.05
265,Meulaboh,ID,2021-06-11 11:05:07,4.1363,96.1285,83.48,70,47,5.46
266,Thinadhoo,MV,2021-06-11 11:05:07,0.5333,72.9333,84.06,73,100,12.91
267,Horki,BY,2021-06-11 11:05:08,54.2861,30.9842,63.93,78,95,9.66
268,Yaan,NG,2021-06-11 11:05:08,7.3833,8.5667,80.67,77,100,4.0
269,Hamilton,US,2021-06-11 11:00:30,39.1834,-84.5333,72.25,96,1,1.01
270,Touros,BR,2021-06-11 11:05:08,-5.1989,-35.4608,79.7,74,93,15.48
271,The Valley,AI,2021-06-11 11:05:09,18.217,-63.0578,81.1,83,20,6.91
272,Akyab,MM,2021-06-11 11:05:09,20.15,92.9,80.67,87,100,9.53
273,Daru,PG,2021-06-11 11:05:10,-9.0763,143.2092,77.94,91,28,8.34
274,Hovd,MN,2021-06-11 11:05:10,48.0056,91.6419,65.19,45,100,10.29
275,Kloulklubed,PW,2021-06-11 11:05:10,7.0419,134.2556,81.1,77,100,6.55
276,Videira,BR,2021-06-11 11:04:43,-27.0083,-51.1517,53.85,99,98,1.41
277,Macia,MZ,2021-06-11 11:05:11,-25.0269,33.0989,75.36,51,2,8.7
278,Kavaratti,IN,2021-06-11 11:05:11,10.5669,72.642,83.79,76,100,18.01
279,Banda Aceh,ID,2021-06-11 11:05:11,5.5577,95.3222,83.71,76,55,15.37
280,Staraya Poltavka,RU,2021-06-11 11:05:11,50.4772,46.4814,79.09,44,59,7.85
281,Pajapan,MX,2021-06-11 11:05:12,18.25,-94.7,73.02,93,100,4.03
282,Oliveira Dos Brejinhos,BR,2021-06-11 11:05:12,-12.3169,-42.8961,73.09,65,100,3.4
283,Ahipara,NZ,2021-06-11 11:05:13,-35.1667,173.1667,57.24,91,96,8.1
